timezone,interventionDuration,resolution,isReIntervention,app,timestamp,interventionType,purpose
Europe/Berlin,,closedApp,False,instagram,1751200640.567945,,
Europe/Berlin,,closedApp,False,instagram,1751200964.987747,,
Europe/Berlin,1.5,openedApp,False,snapchat,1751210618.7584438,breathingExercise,Nachricht / Schreiben
Europe/Berlin,1.5,dismissedAppOpening,False,snapchat,1751212656.858725,breathingExercise,
Europe/Berlin,,closedApp,False,snapchat,1751210639.137815,,
Europe/Berlin,1.5,openedApp,False,instagram,1751220865.4697819,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751220963.783319,,
Europe/Berlin,1.5,openedApp,False,instagram,1751221156.958839,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751221187.7327142,,
Europe/Berlin,1.5,openedApp,False,instagram,1751226803.358057,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751226882.188075,,
Europe/Berlin,1.5,openedApp,False,instagram,1751260502.229549,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751260553.013727,,
Europe/Berlin,1.5,openedApp,False,instagram,1751261430.2309651,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751262625.5197492,,
Europe/Berlin,1.5,openedApp,False,snapchat,1751262637.385608,breathingExercise,Auf dem Laufenden bleiben
Europe/Berlin,,closedApp,False,snapchat,1751262725.02548,,
Europe/Berlin,1.5,openedApp,False,instagram,1751265992.73947,breathingExercise,Langeweile
Europe/Berlin,,closedApp,False,instagram,1751266249.185995,,
Europe/Berlin,1.5,openedApp,False,instagram,1751267361.52001,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751267428.471107,,
Europe/Berlin,1.5,openedApp,False,instagram,1751291066.522489,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751291221.1764379,,
Europe/Berlin,1.5,openedApp,False,instagram,1751294831.3725781,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751295114.276269,,
Europe/Berlin,1.5,openedApp,False,instagram,1751295570.740577,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751295701.049469,,
Europe/Berlin,,closedApp,False,instagram,1751295781.035897,,
Europe/Berlin,1.5,openedApp,False,instagram,1751297146.451997,breathingExercise,Langeweile
Europe/Berlin,,closedApp,False,instagram,1751297175.770667,,
Europe/Berlin,1.5,openedApp,False,instagram,1751297480.641347,breathingExercise,Nachricht / Schreiben
Europe/Berlin,1.5,openedApp,False,snapchat,1751298379.717263,breathingExercise,Auf dem Laufenden bleiben
Europe/Berlin,,closedApp,False,snapchat,1751298464.075542,,
Europe/Berlin,1.5,dismissedAppOpening,False,instagram,1751298465.659311,breathingExercise,
Europe/Berlin,1.5,openedApp,False,snapchat,1751300493.944646,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,snapchat,1751300528.683907,,
Europe/Berlin,,closedApp,False,snapchat,1751300563.616489,,
Europe/Berlin,,closedApp,False,snapchat,1751300666.92014,,
Europe/Berlin,,closedApp,False,snapchat,1751300780.63954,,
Europe/Berlin,,closedApp,False,snapchat,1751300795.722309,,
Europe/Berlin,1.5,openedApp,False,snapchat,1751301163.2994351,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,snapchat,1751301198.242906,,
Europe/Berlin,1.5,openedApp,False,instagram,1751304658.697459,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751304729.4707808,,
Europe/Berlin,1.5,openedApp,False,instagram,1751304972.130275,breathingExercise,Auf dem Laufenden bleiben
Europe/Berlin,1.5,openedApp,False,snapchat,1751304988.519257,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751305177.086329,,
Europe/Berlin,,closedApp,False,snapchat,1751305073.341734,,
Europe/Berlin,,closedApp,False,snapchat,1751305117.0786428,,
Europe/Berlin,1.5,openedApp,False,instagram,1751306736.007483,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751306763.516304,,
Europe/Berlin,,closedApp,False,instagram,1751306904.165067,,
Europe/Berlin,1.5,openedApp,False,snapchat,1751306912.7537389,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,snapchat,1751306945.103763,,
Europe/Berlin,1.5,openedApp,False,instagram,1751307281.977172,breathingExercise,Langeweile
Europe/Berlin,1.5,dismissedAppOpening,False,instagram,1751307971.734956,breathingExercise,
Europe/Berlin,1.5,openedApp,False,instagram,1751308094.240313,breathingExercise,Nachricht / Schreiben
Europe/Berlin,1.5,dismissedAppOpening,False,instagram,1751309603.447572,breathingExercise,
Europe/Berlin,,closedApp,False,instagram,1751308459.588311,,
Europe/Berlin,,closedApp,False,instagram,1751308563.871177,,
Europe/Berlin,,closedApp,False,instagram,1751309035.994154,,
Europe/Berlin,1.5,openedApp,False,snapchat,1751312236.2495131,breathingExercise,Nachricht / Schreiben
Europe/Berlin,1.5,openedApp,False,snapchat,1751314441.651933,breathingExercise,Nachricht / Schreiben
Europe/Berlin,1.5,dismissedAppOpening,False,snapchat,1751315951.591274,breathingExercise,
Europe/Berlin,1.5,openedApp,False,snapchat,1751350777.39564,breathingExercise,Auf dem Laufenden bleiben
Europe/Berlin,1.5,dismissedAppOpening,False,snapchat,1751354038.99993,breathingExercise,
Europe/Berlin,1.5,openedApp,False,snapchat,1751360904.3466291,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,snapchat,1751360921.284569,,
Europe/Berlin,1.5,openedApp,False,snapchat,1751373356.09866,breathingExercise,Langeweile
Europe/Berlin,1.5,dismissedAppOpening,False,snapchat,1751374875.481694,breathingExercise,
Europe/Berlin,1.5,dismissedAppOpening,False,snapchat,1751374918.289746,breathingExercise,
Europe/Berlin,1.5,openedApp,False,snapchat,1751378612.5607738,breathingExercise,Nachricht / Schreiben
Europe/Berlin,1.5,openedApp,False,snapchat,1751382691.8865662,breathingExercise,Nachricht / Schreiben
Europe/Berlin,1.5,openedApp,False,snapchat,1751392503.305984,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,snapchat,1751392533.2306771,,
Europe/Berlin,1.5,openedApp,False,snapchat,1751398194.460701,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,snapchat,1751398221.4621139,,
Europe/Berlin,1.5,openedApp,False,snapchat,1751400390.666625,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,snapchat,1751400403.352272,,
Europe/Berlin,1.5,dismissedAppOpening,False,snapchat,1751402062.576829,breathingExercise,
Europe/Berlin,1.5,openedApp,False,snapchat,1751404545.406332,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,snapchat,1751404996.734326,,
Europe/Berlin,1.5,openedApp,False,snapchat,1751434850.4227161,breathingExercise,Nachricht / Schreiben
Europe/Berlin,1.5,openedApp,False,snapchat,1751452673.054488,breathingExercise,Nachricht / Schreiben
Europe/Berlin,1.5,openedApp,False,snapchat,1751459321.480402,breathingExercise,Nachricht / Schreiben
Europe/Berlin,1.5,openedApp,False,snapchat,1751461488.365104,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,snapchat,1751461639.9601989,,
Europe/Berlin,1.5,dismissedAppOpening,False,snapchat,1751463115.647816,breathingExercise,
Europe/Berlin,1.5,openedApp,False,snapchat,1751467081.9238892,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,snapchat,1751467095.759284,,
Europe/Berlin,1.5,dismissedAppOpening,False,snapchat,1751472125.530061,breathingExercise,
Europe/Berlin,1.5,openedApp,False,snapchat,1751483294.6899,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,snapchat,1751483308.6062078,,
Europe/Berlin,1.5,dismissedAppOpening,False,snapchat,1751488818.389296,breathingExercise,
Europe/Berlin,1.5,openedApp,False,snapchat,1751515845.9657059,breathingExercise,Nachricht / Schreiben
Europe/Berlin,1.5,dismissedAppOpening,False,snapchat,1751519338.460814,breathingExercise,
Europe/Berlin,1.5,dismissedAppOpening,False,snapchat,1751522517.320842,breathingExercise,
Europe/Berlin,1.5,dismissedAppOpening,False,snapchat,1751523040.425325,breathingExercise,
Europe/Berlin,1.5,openedApp,False,snapchat,1751532940.884124,breathingExercise,Nachricht / Schreiben
Europe/Berlin,1.5,dismissedAppOpening,False,snapchat,1751538299.5534081,breathingExercise,
Europe/Berlin,,closedApp,False,snapchat,1751532963.823951,,
Europe/Berlin,1.5,openedApp,False,snapchat,1751548276.736302,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,snapchat,1751548292.138479,,
Europe/Berlin,1.5,openedApp,False,snapchat,1751551100.1147661,breathingExercise,Nachricht / Schreiben
Europe/Berlin,1.5,openedApp,False,snapchat,1751553412.0378718,breathingExercise,Nachricht / Schreiben
Europe/Berlin,1.5,openedApp,False,snapchat,1751554127.221961,breathingExercise,Nachricht / Schreiben
Europe/Berlin,1.5,dismissedAppOpening,False,snapchat,1751554376.812941,breathingExercise,
Europe/Berlin,1.5,dismissedAppOpening,False,snapchat,1751554528.866918,breathingExercise,
Europe/Berlin,1.5,dismissedAppOpening,False,snapchat,1751556271.6802092,breathingExercise,
Europe/Berlin,1.5,dismissedAppOpening,False,snapchat,1751558809.060662,breathingExercise,
Europe/Berlin,1.5,dismissedAppOpening,False,snapchat,1751559117.964326,breathingExercise,
Europe/Berlin,1.5,dismissedAppOpening,False,snapchat,1751562337.9611511,breathingExercise,
Europe/Berlin,1.5,dismissedAppOpening,False,snapchat,1751564536.595673,breathingExercise,
Europe/Berlin,1.5,openedApp,False,snapchat,1751565470.202942,breathingExercise,Nachricht / Schreiben
Europe/Berlin,1.5,dismissedAppOpening,False,snapchat,1751567191.168789,breathingExercise,
Europe/Berlin,1.5,openedApp,False,snapchat,1751567569.496989,breathingExercise,Nachricht / Schreiben
Europe/Berlin,1.5,dismissedAppOpening,False,snapchat,1751571707.217668,breathingExercise,
Europe/Berlin,1.5,dismissedAppOpening,False,snapchat,1751573283.498088,breathingExercise,
Europe/Berlin,1.5,dismissedAppOpening,False,snapchat,1751577662.751378,breathingExercise,
Europe/Berlin,1.5,openedApp,False,snapchat,1751615479.023488,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,snapchat,1751615510.305293,,
Europe/Berlin,1.5,openedApp,False,snapchat,1751616079.75781,breathingExercise,Nachricht / Schreiben
Europe/Berlin,1.5,openedApp,False,snapchat,1751622289.327187,breathingExercise,Nachricht / Schreiben
Europe/Berlin,1.5,openedApp,False,snapchat,1751622289.95225,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,snapchat,1751622322.03166,,
Europe/Berlin,1.5,openedApp,False,snapchat,1751625473.670422,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,snapchat,1751625505.920937,,
Europe/Berlin,1.5,openedApp,False,snapchat,1751628474.6656609,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,snapchat,1751628498.665759,,
Europe/Berlin,1.5,openedApp,False,snapchat,1751630020.708899,breathingExercise,Nachricht / Schreiben
Europe/Berlin,1.5,dismissedAppOpening,False,snapchat,1751630593.329206,breathingExercise,
Europe/Berlin,1.5,dismissedAppOpening,False,snapchat,1751630601.246317,breathingExercise,
Europe/Berlin,1.5,dismissedAppOpening,False,snapchat,1751631030.021055,breathingExercise,
Europe/Berlin,1.5,dismissedAppOpening,False,snapchat,1751631363.249296,breathingExercise,
Europe/Berlin,1.5,openedApp,False,snapchat,1751631867.930709,breathingExercise,Nachricht / Schreiben
Europe/Berlin,1.5,openedApp,False,snapchat,1751635878.877485,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,snapchat,1751635922.5961962,,
Europe/Berlin,,closedApp,False,snapchat,1751635978.180354,,
Europe/Berlin,1.5,dismissedAppOpening,False,snapchat,1751636456.982259,breathingExercise,
Europe/Berlin,1.5,dismissedAppOpening,False,snapchat,1751637104.352777,breathingExercise,
Europe/Berlin,1.5,dismissedAppOpening,False,snapchat,1751637319.147053,breathingExercise,
Europe/Berlin,1.5,dismissedAppOpening,False,snapchat,1751638089.0414739,breathingExercise,
Europe/Berlin,1.5,dismissedAppOpening,False,snapchat,1751638090.357592,breathingExercise,
Europe/Berlin,1.5,dismissedAppOpening,False,snapchat,1751640269.304286,breathingExercise,
Europe/Berlin,1.5,openedApp,False,snapchat,1751640328.759001,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,snapchat,1751640394.356031,,
Europe/Berlin,1.5,openedApp,False,snapchat,1751640629.0215049,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,snapchat,1751640701.692205,,
Europe/Berlin,,closedApp,False,snapchat,1751640737.516502,,
Europe/Berlin,1.5,openedApp,False,snapchat,1751642087.060233,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,snapchat,1751642103.180355,,
Europe/Berlin,,closedApp,False,snapchat,1751642241.079823,,
Europe/Berlin,1.5,openedApp,False,snapchat,1751653918.331747,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,snapchat,1751653938.285393,,
Europe/Berlin,1.5,openedApp,False,snapchat,1751654520.484916,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,snapchat,1751654586.773003,,
Europe/Berlin,1.5,openedApp,False,snapchat,1751659514.69276,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,snapchat,1751659535.280833,,
Europe/Berlin,1.5,dismissedAppOpening,False,snapchat,1751663128.143403,breathingExercise,
Europe/Berlin,1.5,dismissedAppOpening,False,snapchat,1751663756.673623,breathingExercise,
Europe/Berlin,1.5,openedApp,False,snapchat,1751664835.42026,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,snapchat,1751664861.173102,,
Europe/Berlin,1.5,dismissedAppOpening,False,snapchat,1751665847.8946981,breathingExercise,
Europe/Berlin,1.5,openedApp,False,snapchat,1751666150.648304,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,snapchat,1751666168.6510072,,
Europe/Berlin,1.5,dismissedAppOpening,False,snapchat,1751691599.002275,breathingExercise,
Europe/Berlin,1.5,openedApp,False,snapchat,1751694828.9135652,breathingExercise,Nachricht / Schreiben
Europe/Berlin,1.5,openedApp,False,snapchat,1751705624.537509,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,snapchat,1751705646.1609,,
Europe/Berlin,1.5,openedApp,False,snapchat,1751706724.0890331,breathingExercise,Nachricht / Schreiben
Europe/Berlin,1.5,dismissedAppOpening,False,snapchat,1751714499.3486981,breathingExercise,
Europe/Berlin,1.5,dismissedAppOpening,False,snapchat,1751718372.7905989,breathingExercise,
Europe/Berlin,1.5,openedApp,False,snapchat,1751721494.070047,breathingExercise,Nachricht / Schreiben
Europe/Berlin,1.5,openedApp,False,snapchat,1751728149.902839,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,snapchat,1751728179.26805,,
Europe/Berlin,1.5,dismissedAppOpening,False,snapchat,1751728588.7997189,breathingExercise,
Europe/Berlin,,closedApp,False,instagram,1751730481.18735,,
Europe/Berlin,,closedApp,False,instagram,1751730724.347128,,
Europe/Berlin,,closedApp,False,instagram,1751730757.5698152,,
Europe/Berlin,1.5,openedApp,False,instagram,1751731343.63862,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751731381.367856,,
Europe/Berlin,1.5,openedApp,False,snapchat,1751733397.346832,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,snapchat,1751733438.196315,,
Europe/Berlin,1.5,openedApp,False,snapchat,1751733823.682142,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,snapchat,1751733869.403199,,
Europe/Berlin,1.5,openedApp,False,snapchat,1751734221.2503052,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,snapchat,1751734258.6212258,,
Europe/Berlin,1.5,openedApp,False,snapchat,1751734537.361525,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,snapchat,1751734561.442919,,
Europe/Berlin,1.5,openedApp,False,instagram,1751734568.99514,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751734608.212029,,
Europe/Berlin,1.5,openedApp,False,instagram,1751736963.399853,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751736996.67388,,
Europe/Berlin,1.5,openedApp,False,snapchat,1751737003.2421188,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,snapchat,1751737019.3930469,,
Europe/Berlin,1.5,openedApp,False,snapchat,1751739091.5799742,breathingExercise,Nachricht / Schreiben
Europe/Berlin,1.5,openedApp,False,instagram,1751739100.611491,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751739154.483485,,
Europe/Berlin,1.5,dismissedAppOpening,False,snapchat,1751741180.580301,breathingExercise,
Europe/Berlin,1.5,openedApp,False,instagram,1751741186.530884,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751741341.5622969,,
Europe/Berlin,1.5,dismissedAppOpening,False,snapchat,1751742621.074141,breathingExercise,
Europe/Berlin,1.5,openedApp,False,instagram,1751742627.151995,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751743058.9712129,,
Europe/Berlin,1.5,dismissedAppOpening,False,snapchat,1751743447.442795,breathingExercise,
Europe/Berlin,1.5,openedApp,False,instagram,1751743454.094431,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751743696.9994888,,
Europe/Berlin,1.5,openedApp,False,instagram,1751750452.153199,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751750481.954293,,
Europe/Berlin,,closedApp,False,instagram,1751750731.781808,,
Europe/Berlin,1.5,openedApp,False,instagram,1751752240.271157,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751752279.448389,,
Europe/Berlin,1.5,openedApp,False,instagram,1751777047.4154649,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751777219.4185991,,
Europe/Berlin,1.5,dismissedAppOpening,False,snapchat,1751777221.3371801,breathingExercise,
Europe/Berlin,1.5,dismissedAppOpening,False,snapchat,1751782863.166528,breathingExercise,
Europe/Berlin,1.5,dismissedAppOpening,False,snapchat,1751797566.805081,breathingExercise,
Europe/Berlin,1.5,openedApp,False,snapchat,1751798542.287961,breathingExercise,Nachricht / Schreiben
Europe/Berlin,1.5,dismissedAppOpening,False,snapchat,1751802113.814075,breathingExercise,
Europe/Berlin,1.5,openedApp,False,instagram,1751802119.6613522,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751802188.09383,,
Europe/Berlin,1.5,openedApp,False,snapchat,1751804585.314162,breathingExercise,Nachricht / Schreiben
Europe/Berlin,1.5,openedApp,False,instagram,1751804594.706842,breathingExercise,Nachricht / Schreiben
Europe/Berlin,1.5,dismissedAppOpening,False,snapchat,1751804944.299417,breathingExercise,
Europe/Berlin,,closedApp,False,instagram,1751804628.680015,,
Europe/Berlin,1.5,openedApp,False,instagram,1751804949.875846,breathingExercise,Nachricht / Schreiben
Europe/Berlin,1.5,dismissedAppOpening,False,instagram,1751806691.968951,breathingExercise,
Europe/Berlin,,closedApp,False,instagram,1751805356.4627318,,
Europe/Berlin,1.5,openedApp,False,instagram,1751809354.92735,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751809387.77948,,
Europe/Berlin,1.5,dismissedAppOpening,False,snapchat,1751809477.579866,breathingExercise,
Europe/Berlin,,closedApp,False,instagram,1751809569.0868158,,
Europe/Berlin,1.5,openedApp,False,instagram,1751810741.735186,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751810846.6267219,,
Europe/Berlin,1.5,openedApp,False,snapchat,1751811262.12154,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,snapchat,1751811275.718689,,
Europe/Berlin,1.5,dismissedAppOpening,False,snapchat,1751811552.4331331,breathingExercise,
Europe/Berlin,1.5,openedApp,False,instagram,1751811799.764853,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751811858.446999,,
Europe/Berlin,1.5,dismissedAppOpening,False,snapchat,1751812154.528387,breathingExercise,
Europe/Berlin,1.5,openedApp,False,snapchat,1751822611.269652,breathingExercise,Nachricht / Schreiben
Europe/Berlin,1.5,dismissedAppOpening,False,instagram,1751822623.89568,breathingExercise,
Europe/Berlin,1.5,openedApp,False,instagram,1751822631.961866,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751822677.463198,,
Europe/Berlin,,closedApp,False,instagram,1751822862.9756699,,
Europe/Berlin,1.5,openedApp,False,snapchat,1751823369.8291888,breathingExercise,Nachricht / Schreiben
Europe/Berlin,1.5,dismissedAppOpening,False,instagram,1751824165.1497102,breathingExercise,
Europe/Berlin,1.5,dismissedAppOpening,False,snapchat,1751825082.8604689,breathingExercise,
Europe/Berlin,1.5,openedApp,False,snapchat,1751825450.048984,breathingExercise,Nachricht / Schreiben
Europe/Berlin,1.5,openedApp,False,instagram,1751826073.363281,breathingExercise,Nachricht / Schreiben
Europe/Berlin,1.5,openedApp,False,snapchat,1751826672.557785,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,snapchat,1751826686.4033709,,
Europe/Berlin,1.5,openedApp,False,instagram,1751827192.897707,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751827279.898025,,
Europe/Berlin,1.5,openedApp,False,instagram,1751827493.488486,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751827586.855993,,
Europe/Berlin,1.5,openedApp,False,instagram,1751827817.256799,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751827935.863877,,
Europe/Berlin,1.5,openedApp,False,instagram,1751831517.6080089,breathingExercise,Nachricht / Schreiben
Europe/Berlin,1.5,openedApp,False,snapchat,1751834479.995511,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,snapchat,1751834494.78564,,
Europe/Berlin,1.5,openedApp,False,instagram,1751834500.317065,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751834519.221221,,
Europe/Berlin,1.5,openedApp,False,instagram,1751835325.49507,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751835683.5384011,,
Europe/Berlin,1.5,openedApp,False,snapchat,1751835690.621067,breathingExercise,Nachricht / Schreiben
Europe/Berlin,1.5,openedApp,False,instagram,1751864997.0634,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751865204.7463899,,
Europe/Berlin,1.5,openedApp,False,instagram,1751871120.267137,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751871160.197258,,
Europe/Berlin,1.5,openedApp,False,instagram,1751872039.9201288,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751872064.9597778,,
Europe/Berlin,1.5,openedApp,False,instagram,1751872871.726727,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751872934.3973699,,
Europe/Berlin,1.5,openedApp,False,instagram,1751876053.937412,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751876199.195051,,
Europe/Berlin,1.5,openedApp,False,snapchat,1751881602.714799,breathingExercise,Nachricht / Schreiben
Europe/Berlin,1.5,openedApp,False,instagram,1751881614.2675738,breathingExercise,Langeweile
Europe/Berlin,,closedApp,False,instagram,1751881717.336061,,
Europe/Berlin,1.5,dismissedAppOpening,False,snapchat,1751882757.896954,breathingExercise,
Europe/Berlin,1.5,openedApp,False,instagram,1751883209.442055,breathingExercise,Nachricht / Schreiben
Europe/Berlin,1.5,dismissedAppOpening,False,snapchat,1751884875.4648762,breathingExercise,
Europe/Berlin,,closedApp,False,instagram,1751883335.423991,,
Europe/Berlin,1.5,dismissedAppOpening,False,instagram,1751884877.487139,breathingExercise,
Europe/Berlin,1.5,openedApp,False,instagram,1751885641.19085,breathingExercise,Nachricht / Schreiben
Europe/Berlin,1.5,dismissedAppOpening,False,instagram,1751886132.806711,breathingExercise,
Europe/Berlin,,closedApp,False,instagram,1751885697.2940679,,
Europe/Berlin,1.5,openedApp,False,snapchat,1751894905.218005,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,snapchat,1751894925.876965,,
Europe/Berlin,1.5,openedApp,False,instagram,1751906740.5182781,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751906883.843765,,
Europe/Berlin,,closedApp,False,instagram,1751907738.565033,,
Europe/Berlin,1.5,openedApp,False,snapchat,1751910631.282905,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,snapchat,1751910668.75896,,
Europe/Berlin,1.5,openedApp,False,instagram,1751910690.558322,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751910825.7216449,,
Europe/Berlin,1.5,openedApp,False,snapchat,1751912366.7254372,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,snapchat,1751912402.431886,,
Europe/Berlin,1.5,dismissedAppOpening,False,instagram,1751912404.091409,breathingExercise,
Europe/Berlin,1.5,openedApp,False,instagram,1751912547.0983791,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751912578.477561,,
Europe/Berlin,,closedApp,False,instagram,1751912686.802746,,
Europe/Berlin,,closedApp,False,instagram,1751912998.905932,,
Europe/Berlin,,closedApp,False,instagram,1751913078.5814872,,
Europe/Berlin,1.5,openedApp,False,snapchat,1751913274.862001,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,snapchat,1751913321.084712,,
Europe/Berlin,1.5,openedApp,False,snapchat,1751913850.589446,breathingExercise,Nachricht / Schreiben
Europe/Berlin,1.5,dismissedAppOpening,False,snapchat,1751914627.344615,breathingExercise,
Europe/Berlin,1.5,openedApp,False,instagram,1751916081.3946738,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751916154.108387,,
Europe/Berlin,1.5,openedApp,False,instagram,1751916385.379128,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751916424.483577,,
Europe/Berlin,,closedApp,False,instagram,1751916602.999351,,
Europe/Berlin,,closedApp,False,instagram,1751916783.796523,,
Europe/Berlin,1.5,openedApp,False,snapchat,1751916796.424653,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751916876.7520561,,
Europe/Berlin,,closedApp,False,snapchat,1751916834.940495,,
Europe/Berlin,1.5,openedApp,False,instagram,1751917262.837401,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751917343.146905,,
Europe/Berlin,1.5,openedApp,False,snapchat,1751917388.119687,breathingExercise,Ablenkung
Europe/Berlin,1.5,openedApp,False,snapchat,1751918019.209017,breathingExercise,Nachricht / Schreiben
Europe/Berlin,1.5,dismissedAppOpening,False,snapchat,1751918862.840363,breathingExercise,
Europe/Berlin,1.5,openedApp,False,instagram,1751918868.9109201,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1751918933.72048,,
Europe/Berlin,,closedApp,False,instagram,1751919144.172149,,
