resolution,interventionType,interventionDuration,purpose,isReIntervention,timezone,app,timestamp,timeIntervalUntilReIntervention
dismissedAppOpening,breathingExercise,6.0,,True,Europe/London,facebook,1751277388.476574,
openedApp,breathingExercise,6.0,church,False,Europe/London,instagram,1751285131.095563,300.0
dismissedAppOpening,breathingExercise,6.0,,True,Europe/London,facebook,1751285442.451617,
openedApp,breathingExercise,6.0,check,False,Europe/London,instagram,1751285463.1147208,300.0
openedApp,breathingExercise,6.0,CCTV,False,Europe/London,instagram,1751286804.7344131,300.0
dismissedAppOpening,breathingExercise,6.0,,True,Europe/London,facebook,1751287127.518676,
openedApp,breathingExercise,6.0,CTC,False,Europe/London,instagram,1751287144.143248,300.0
dismissedAppOpening,breathingExercise,6.0,,False,Europe/London,instagram,1751287483.61032,
openedApp,breathingExercise,6.0,ce,False,Europe/London,instagram,1751287531.4561281,300.0
dismissedAppOpening,breathingExercise,6.0,,True,Europe/London,facebook,1751287862.1220489,
openedApp,breathingExercise,6.0,check,False,Europe/London,instagram,1751287878.7176409,300.0
openedApp,breathingExercise,6.0,check,False,Europe/London,instagram,1751288762.7489572,600.0
openedApp,breathingExercise,6.0,ceux,False,Europe/London,instagram,1751289211.38305,600.0
dismissedAppOpening,breathingExercise,6.0,,False,Europe/London,instagram,1751289762.8475308,
openedApp,breathingExercise,6.0,CT,False,Europe/London,instagram,1751291103.8747401,600.0
dismissedAppOpening,breathingExercise,6.0,,False,Europe/London,facebook,1751293337.9320168,
dismissedAppOpening,breathingExercise,6.0,,False,Europe/London,facebook,1751293339.8214478,
dismissedAppOpening,breathingExercise,6.0,,False,Europe/London,instagram,1751298877.973839,
openedApp,breathingExercise,6.0,church,False,Europe/London,instagram,1751302144.516114,600.0
openedApp,breathingExercise,6.0,cash,False,Europe/London,instagram,1751302835.021236,600.0
openedApp,breathingExercise,6.0,ch,True,Europe/London,instagram,1751303461.479012,600.0
openedApp,breathingExercise,6.0,chef,False,Europe/London,instagram,1751304063.91559,360.0
openedApp,breathingExercise,6.0,check,False,Europe/London,instagram,1751306755.840399,60.0
openedApp,breathingExercise,6.0,ca,False,Europe/London,instagram,1751306854.637103,420.0
dismissedAppOpening,breathingExercise,6.0,,False,Europe/London,instagram,1751313929.244003,
dismissedAppOpening,breathingExercise,6.0,,False,Europe/London,instagram,1751313935.1657162,
openedApp,breathingExercise,6.0,Chevy,False,Europe/London,instagram,1751315512.215157,600.0
dismissedAppOpening,breathingExercise,6.0,,False,Europe/London,instagram,1751316838.73482,
openedApp,breathingExercise,6.0,chef,False,Europe/London,instagram,1751317130.9038548,120.0
openedApp,breathingExercise,6.0,chef,True,Europe/London,instagram,1751317271.159462,120.0
dismissedAppOpening,breathingExercise,6.0,,False,Europe/London,instagram,1751323810.138015,
openedApp,breathingExercise,6.0,check,False,Europe/London,instagram,1751324780.771734,180.0
dismissedAppOpening,breathingExercise,6.0,,False,Europe/London,instagram,1751353996.606653,
dismissedAppOpening,breathingExercise,6.0,,False,Europe/London,instagram,1751353998.987558,
dismissedAppOpening,breathingExercise,6.0,,False,Europe/London,instagram,1751354003.094203,
openedApp,breathingExercise,6.0,check,False,Europe/London,instagram,1751354272.8075929,180.0
dismissedAppOpening,breathingExercise,6.0,,True,Europe/London,facebook,1751354466.136732,
openedApp,breathingExercise,6.0,be,False,Europe/London,instagram,1751354485.31208,240.0
openedApp,breathingExercise,6.0,check,False,Europe/London,instagram,1751364433.446419,360.0
dismissedAppOpening,breathingExercise,6.0,,False,Europe/London,instagram,1751364821.611712,
openedApp,breathingExercise,6.0,church,False,Europe/London,instagram,1751365713.836596,300.0
openedApp,breathingExercise,6.0,did,False,Europe/London,instagram,1751366632.9132462,240.0
openedApp,breathingExercise,6.0,Chevy,False,Europe/London,instagram,1751374725.345454,600.0
dismissedAppOpening,breathingExercise,6.0,,False,Europe/London,instagram,1751376336.462974,
openedApp,breathingExercise,6.0,cut,False,Europe/London,instagram,1751381549.2849789,300.0
openedApp,breathingExercise,6.0,check,False,Europe/London,instagram,1751384031.9435139,600.0
openedApp,breathingExercise,6.0,cuts,False,Europe/London,instagram,1751403220.956665,300.0
dismissedAppOpening,breathingExercise,6.0,,True,Europe/London,facebook,1751410997.29196,
openedApp,breathingExercise,6.0,by,False,Europe/London,instagram,1751411014.887331,300.0
dismissedAppOpening,breathingExercise,6.0,,True,Europe/London,facebook,1751411301.7553449,
openedApp,breathingExercise,6.0,Buddy,False,Europe/London,instagram,1751412529.279769,300.0
openedApp,breathingExercise,6.0,cute,False,Europe/London,instagram,1751412886.409019,300.0
openedApp,breathingExercise,6.0,he,False,Europe/London,instagram,1751418195.687451,60.0
openedApp,breathingExercise,6.0,cute,False,Europe/London,instagram,1751443424.900062,240.0
openedApp,breathingExercise,6.0,check,False,Europe/London,instagram,1751443763.311332,240.0
openedApp,breathingExercise,6.0,CCTV,False,Europe/London,instagram,1751455581.2609072,360.0
openedApp,breathingExercise,6.0,cherche,False,Europe/London,instagram,1751459531.6025681,360.0
openedApp,breathingExercise,6.0,ça,False,Europe/London,instagram,1751459853.3486981,180.0
openedApp,breathingExercise,6.0,check,False,Europe/London,instagram,1751476544.5793371,420.0
openedApp,breathingExercise,6.0,cr,False,Europe/London,instagram,1751478614.7017179,60.0
dismissedAppOpening,breathingExercise,6.0,,True,Europe/London,facebook,1751478687.845319,
openedApp,breathingExercise,6.0,by,False,Europe/London,instagram,1751478721.925136,600.0
openedApp,breathingExercise,6.0,chi,False,Europe/London,instagram,1751479848.146024,240.0
openedApp,breathingExercise,6.0,vu,False,Europe/London,instagram,1751480130.618668,300.0
openedApp,breathingExercise,6.0,ch,False,Europe/London,instagram,1751481382.3080912,360.0
dismissedAppOpening,breathingExercise,6.0,,False,Europe/London,instagram,1751481810.172823,
openedApp,breathingExercise,6.0,ch,False,Europe/London,instagram,1751481827.895714,240.0
openedApp,breathingExercise,6.0,credit,False,Europe/London,instagram,1751482471.966125,300.0
openedApp,breathingExercise,6.0,cut,False,Europe/London,instagram,1751484139.9942122,300.0
dismissedAppOpening,journaling,,,False,Europe/London,instagram,1751490528.1314468,
openedApp,breathingExercise,6.0,chez,False,Europe/London,instagram,1751503889.853476,420.0
openedApp,breathingExercise,6.0,ca,False,Europe/London,instagram,1751524491.606425,240.0
dismissedAppOpening,breathingExercise,6.0,,False,Europe/London,instagram,1751524772.1178908,
openedApp,breathingExercise,6.0,Fr,False,Europe/London,instagram,1751528415.840125,180.0
openedApp,breathingExercise,6.0,church,False,Europe/London,instagram,1751539883.610567,360.0
openedApp,breathingExercise,6.0,hi,False,Europe/London,instagram,1751543460.1011062,600.0
openedApp,breathingExercise,6.0,FYI,False,Europe/London,instagram,1751543475.9492521,600.0
dismissedAppOpening,breathingExercise,6.0,,False,Europe/London,instagram,1751545102.254408,
openedApp,breathingExercise,6.0,corgi,False,Europe/London,instagram,1751546920.74772,360.0
dismissedAppOpening,breathingExercise,6.0,,True,Europe/London,facebook,1751590159.4412808,
openedApp,breathingExercise,6.0,church,False,Europe/London,instagram,1751590177.118952,360.0
openedApp,breathingExercise,6.0,cute,False,Europe/London,facebook,1751603563.8152199,180.0
dismissedAppOpening,breathingExercise,6.0,,False,Europe/London,instagram,1751606827.423009,
openedApp,breathingExercise,6.0,church,False,Europe/London,instagram,1751607553.902605,600.0
openedApp,breathingExercise,6.0,chef,False,Europe/London,instagram,1751608389.918313,300.0
openedApp,breathingExercise,6.0,chef,False,Europe/Lisbon,instagram,1751626122.179492,360.0
openedApp,breathingExercise,6.0,church,False,Europe/Lisbon,instagram,1751673774.062324,360.0
dismissedAppOpening,breathingExercise,6.0,,True,Europe/Lisbon,facebook,1751674189.5919771,
openedApp,breathingExercise,6.0,check,False,Europe/Lisbon,instagram,1751674210.356155,420.0
dismissedAppOpening,breathingExercise,6.0,,True,Europe/Lisbon,facebook,1751674637.527813,
openedApp,breathingExercise,6.0,fe,False,Europe/Lisbon,instagram,1751674655.5884361,360.0
openedApp,breathingExercise,6.0,cut,False,Europe/Lisbon,instagram,1751675413.91629,600.0
dismissedAppOpening,breathingExercise,6.0,,True,Europe/Lisbon,facebook,1751676086.986712,
openedApp,breathingExercise,6.0,fe,False,Europe/Lisbon,instagram,1751676108.0459461,540.0
dismissedAppOpening,breathingExercise,6.0,,True,Europe/Lisbon,facebook,1751676651.274693,
openedApp,breathingExercise,6.0,check,False,Europe/Lisbon,instagram,1751676670.135971,360.0
openedApp,breathingExercise,6.0,check,False,Europe/Lisbon,instagram,1751706416.168335,420.0
dismissedAppOpening,breathingExercise,6.0,,False,Europe/Lisbon,facebook,1751707075.121762,
dismissedAppOpening,breathingExercise,6.0,,False,Europe/Lisbon,instagram,1751711429.720109,
openedApp,breathingExercise,6.0,xxiidn,False,Europe/Lisbon,instagram,1751711498.027293,300.0
openedApp,breathingExercise,6.0,chi,False,Europe/Lisbon,instagram,1751712408.297262,420.0
dismissedAppOpening,breathingExercise,6.0,,False,Europe/Lisbon,instagram,1751723016.678338,
openedApp,breathingExercise,6.0,cherry,False,Europe/Lisbon,instagram,1751724565.453806,420.0
openedApp,breathingExercise,6.0,very,False,Europe/Lisbon,instagram,1751748051.177568,360.0
openedApp,breathingExercise,6.0,cuff,False,Europe/Lisbon,instagram,1751840319.118406,420.0
openedApp,breathingExercise,6.0,chi,False,Europe/Lisbon,instagram,1751848909.281808,120.0
dismissedAppOpening,breathingExercise,6.0,,False,Europe/Lisbon,instagram,1751851097.05458,
openedApp,breathingExercise,6.0,x,False,Europe/Lisbon,instagram,1751851116.891624,420.0
openedApp,breathingExercise,6.0,rh,False,Europe/Lisbon,instagram,1751874724.6395779,180.0
openedApp,breathingExercise,6.0,check,False,Europe/Lisbon,instagram,1751911268.1048698,600.0
dismissedAppOpening,breathingExercise,6.0,,True,Europe/Lisbon,facebook,1751911874.278014,
dismissedAppOpening,breathingExercise,6.0,,False,Europe/Lisbon,instagram,1751911876.733196,
dismissedAppOpening,breathingExercise,6.0,,False,Europe/Lisbon,instagram,1751911879.4181519,
dismissedAppOpening,breathingExercise,6.0,,False,Europe/Lisbon,instagram,1751911882.202454,
dismissedAppOpening,breathingExercise,6.0,,False,Europe/London,instagram,1751932603.2392712,
openedApp,breathingExercise,6.0,ça,False,Europe/London,instagram,1751932624.6029549,360.0
openedApp,breathingExercise,6.0,chut,False,Europe/London,instagram,1751940231.948695,300.0
dismissedAppOpening,breathingExercise,6.0,,False,Europe/London,instagram,1751963015.7046309,
dismissedAppOpening,breathingExercise,6.0,,False,Europe/London,instagram,1751963078.275288,
openedApp,breathingExercise,6.0,church,False,Europe/London,instagram,1751963670.165839,300.0
openedApp,breathingExercise,6.0,v,False,Europe/London,instagram,1751964148.022604,240.0
dismissedAppOpening,breathingExercise,6.0,,False,Europe/London,instagram,1751965071.4336581,
dismissedAppOpening,breathingExercise,6.0,,False,Europe/London,instagram,1751981267.808703,
openedApp,breathingExercise,6.0,check,False,Europe/London,instagram,1751981289.8078818,360.0
openedApp,breathingExercise,6.0,ch,False,Europe/London,instagram,1751984947.957178,180.0
openedApp,breathingExercise,6.0,church,True,Europe/London,instagram,1751985150.2955709,300.0
openedApp,breathingExercise,6.0,check,True,Europe/London,instagram,1751985470.11337,360.0
openedApp,breathingExercise,6.0,check,False,Europe/London,instagram,1752005060.9657211,360.0
openedApp,breathingExercise,6.0,church,False,Europe/London,instagram,1752024695.201025,300.0
dismissedAppOpening,breathingExercise,6.0,,False,Europe/London,instagram,1752025268.47458,
dismissedAppOpening,breathingExercise,6.0,,False,Europe/London,instagram,1752059895.4430408,
closedApp,,,,False,Europe/London,quora,1752069555.845993,
openedApp,breathingExercise,6.0,church,False,Europe/London,facebook,1752087558.606614,180.0
dismissedAppOpening,breathingExercise,6.0,,False,Europe/London,instagram,1752090894.846401,
dismissedAppOpening,breathingExercise,6.0,,False,Europe/London,instagram,1752090898.5657291,
dismissedAppOpening,breathingExercise,6.0,,False,Europe/London,instagram,1752090904.636119,
openedApp,breathingExercise,6.0,check,False,Europe/London,instagram,1752204529.146161,600.0
openedApp,breathingExercise,6.0,chi,False,Europe/Guernsey,instagram,1752224737.55403,300.0
openedApp,breathingExercise,6.0,check,False,Europe/Jersey,instagram,1752230041.5725179,360.0
openedApp,breathingExercise,6.0,cherry,False,Europe/Jersey,instagram,1752231831.333909,360.0
openedApp,breathingExercise,6.0,chi,False,Europe/Jersey,instagram,1752232399.0942879,360.0
openedApp,breathingExercise,6.0,ch,False,Europe/Jersey,instagram,1752237077.342766,360.0
openedApp,breathingExercise,6.0,CT,False,Europe/Jersey,instagram,1752237573.351135,240.0
dismissedAppOpening,breathingExercise,6.0,,False,Europe/Jersey,instagram,1752240113.831507,
openedApp,breathingExercise,6.0,ch,False,Europe/Jersey,instagram,1752241289.547574,600.0
openedApp,breathingExercise,6.0,Check,True,Europe/Jersey,instagram,1752242057.972643,420.0
openedApp,breathingExercise,6.0,chute,True,Europe/Jersey,instagram,1752242507.5917048,600.0
openedApp,breathingExercise,6.0,Cody,True,Europe/Jersey,instagram,1752243191.424872,300.0
openedApp,breathingExercise,6.0,video,False,Europe/Jersey,instagram,1752248158.18684,600.0
openedApp,breathingExercise,6.0,check,False,Europe/Jersey,instagram,1752255914.415566,600.0
openedApp,breathingExercise,6.0,vvc,False,Europe/Jersey,instagram,1752256572.6222339,420.0
dismissedAppOpening,breathingExercise,6.0,,False,Europe/Jersey,instagram,1752258054.660877,
openedApp,breathingExercise,6.0,church,False,Europe/Jersey,instagram,1752258078.427236,300.0
openedApp,breathingExercise,6.0,ch,False,Europe/Jersey,instagram,1752259179.681222,600.0
openedApp,breathingExercise,6.0,Dr,True,Europe/Jersey,instagram,1752259836.2307072,300.0
openedApp,breathingExercise,6.0,Boi,False,Europe/Jersey,instagram,1752260962.8489351,420.0
openedApp,breathingExercise,6.0,check,False,Europe/Jersey,instagram,1752262842.2346869,420.0
openedApp,breathingExercise,6.0,church,False,Europe/Jersey,instagram,1752263710.672199,420.0
openedApp,breathingExercise,6.0,check,False,Europe/London,instagram,1752296108.235396,540.0
dismissedAppOpening,breathingExercise,6.0,,False,Europe/London,instagram,1752299052.623575,
dismissedAppOpening,breathingExercise,6.0,,False,Europe/London,instagram,1752299057.510715,
openedApp,breathingExercise,6.0,coco,False,Europe/London,instagram,1752299116.6643581,600.0
dismissedAppOpening,breathingExercise,6.0,,False,Europe/London,instagram,1752299936.857641,
openedApp,breathingExercise,6.0,church,False,Europe/London,instagram,1752305121.4275289,600.0
dismissedAppOpening,breathingExercise,6.0,,False,Europe/London,instagram,1752306127.846019,
openedApp,breathingExercise,6.0,check,False,Europe/London,instagram,1752306164.552281,600.0
openedApp,breathingExercise,6.0,check,False,Europe/Paris,instagram,1752316044.8964,600.0
openedApp,breathingExercise,6.0,cute,False,Europe/Paris,instagram,1752317552.721796,600.0
openedApp,breathingExercise,6.0,church,False,Europe/Paris,instagram,1752318391.703737,600.0
openedApp,breathingExercise,6.0,cry,False,Europe/Paris,instagram,1752319016.9568949,600.0
openedApp,breathingExercise,6.0,CGI,False,Europe/Paris,instagram,1752320542.197394,600.0
dismissedAppOpening,breathingExercise,6.0,,False,Europe/Paris,instagram,1752322344.005903,
openedApp,breathingExercise,6.0,check,False,Europe/Paris,instagram,1752323316.452115,600.0
openedApp,breathingExercise,6.0,ch,False,Europe/Paris,instagram,1752326244.646367,300.0
dismissedAppOpening,breathingExercise,6.0,,False,Europe/Paris,instagram,1752327728.170527,
openedApp,breathingExercise,6.0,check,False,Europe/Paris,instagram,1752332628.2076201,420.0
openedApp,breathingExercise,6.0,cherche,False,Europe/Paris,instagram,1752337377.889495,420.0
openedApp,breathingExercise,6.0,curio,False,Europe/Paris,instagram,1752340258.7387428,600.0
openedApp,breathingExercise,6.0,check,False,Europe/Paris,instagram,1752345645.066299,600.0
dismissedAppOpening,breathingExercise,6.0,,False,Europe/Paris,instagram,1752361117.035897,
openedApp,breathingExercise,6.0,ca,False,Europe/Paris,instagram,1752361139.814515,600.0
openedApp,breathingExercise,6.0,check,False,Europe/Paris,instagram,1752362979.290544,600.0
dismissedAppOpening,breathingExercise,6.0,,True,Europe/Paris,facebook,1752363637.488904,
openedApp,breathingExercise,6.0,church,False,Europe/Paris,instagram,1752363679.3425698,600.0
dismissedAppOpening,breathingExercise,6.0,,False,Europe/Paris,instagram,1752367702.552582,
openedApp,breathingExercise,6.0,ch,False,Europe/Paris,instagram,1752367720.4782681,600.0
openedApp,breathingExercise,6.0,check,False,Europe/Paris,facebook,1752403993.094723,600.0
dismissedAppOpening,breathingExercise,6.0,,False,Europe/Paris,instagram,1752404895.937125,
openedApp,breathingExercise,6.0,check,False,Europe/Paris,instagram,1752412652.783636,600.0
openedApp,breathingExercise,6.0,check,False,Europe/Paris,instagram,1752413954.342873,600.0
openedApp,breathingExercise,6.0,check,False,Europe/Paris,instagram,1752422953.211267,600.0
dismissedAppOpening,breathingExercise,6.0,,False,Europe/Paris,instagram,1752426605.52837,
openedApp,breathingExercise,6.0,Co,False,Europe/Paris,instagram,1752441868.34283,600.0
openedApp,breathingExercise,6.0,at,False,Europe/Paris,instagram,1752447235.2772388,300.0
openedApp,breathingExercise,6.0,chess,False,Europe/Paris,instagram,1752450800.853671,300.0
openedApp,breathingExercise,6.0,does,False,Europe/Paris,instagram,1752476431.955409,300.0
openedApp,breathingExercise,6.0,ch,False,Europe/Paris,instagram,1752485812.996375,300.0
dismissedAppOpening,breathingExercise,6.0,,False,Europe/Paris,instagram,1752492680.65378,
dismissedAppOpening,breathingExercise,6.0,,False,Europe/Paris,instagram,1752519881.371193,
dismissedAppOpening,breathingExercise,6.0,,False,Europe/Paris,facebook,1752520780.81775,
dismissedAppOpening,journaling,,,False,Europe/Paris,instagram,1752530990.373962,
