interventionType,timestamp,interventionDuration,isReIntervention,resolution,app,timezone
breathingExercise,1753096601.987854,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753100850.3791971,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753101230.5253038,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753107468.322727,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753113317.9617472,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753113395.2912102,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753113839.232754,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753113935.3922238,6.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1753121102.143155,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753127201.577558,6.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1753128098.537833,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753180942.2585459,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753181363.549055,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753190867.333633,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753191322.846513,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753197898.02702,6.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1753197916.227858,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753246886.818857,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753281644.972629,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753281777.729449,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753285432.890249,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753285453.3417969,6.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1753286849.617132,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753297303.033853,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753303309.824079,6.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1753303333.006225,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753303524.9137821,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753335055.35564,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753339514.768938,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753351912.180227,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753351995.276877,6.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1753354822.944233,6.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1753378885.4423862,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753379293.095753,6.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1753391740.89776,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753392977.819963,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753393265.921001,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753393512.408475,6.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1753393796.006335,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753423398.040522,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753439303.96952,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753444052.811357,6.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1753449033.441952,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753449872.85139,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753455244.704839,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753455576.816862,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753455814.1241221,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753462451.418839,6.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1753464774.708065,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753464864.3698878,6.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1753464920.463595,6.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1753465050.722044,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753465301.6965442,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753467772.740621,6.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1753467815.169918,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753468013.590498,6.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1753476404.414277,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753511680.3354301,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753511975.2213712,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753524888.742403,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753533033.849482,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753533447.854578,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753536771.515674,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753537823.690299,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753541182.083441,6.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1753541196.743833,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753541818.7267818,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753543589.135709,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753543672.86499,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753543751.3088388,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753544191.797503,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753552784.970063,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753563552.223154,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753564783.990174,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753568362.182043,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753599638.513463,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753600078.139353,6.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1753612641.875725,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753614433.5035229,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753620072.822376,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753620854.8327432,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753621367.7195148,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753621605.733567,6.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1753621677.734009,6.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1753626989.6844711,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753628076.213902,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753628314.078924,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753646079.6385489,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753647777.529252,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753649168.124974,6.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1753682649.4642801,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753685727.411909,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753695988.037358,6.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1753702502.4826288,6.0,False,openedApp,instagram,Europe/Rome
